iter	MAE
0	4.167589484
1	3.92396124
2	3.682057987
3	3.492236778
4	3.333501145
5	3.205112622
6	3.041288879
7	2.878286209
8	2.745456596
9	2.635532474
10	2.566459924
11	2.479624563
12	2.348013577
13	2.329581246
14	2.246349794
15	2.1781711
16	2.089827656
17	2.034222942
18	1.966457335
19	1.905365187
20	1.854869165
21	1.829679657
22	1.824713169
23	1.774145982
24	1.764319769
25	1.72692791
26	1.702168265
27	1.673243738
28	1.650600706
29	1.641756946
30	1.609614376
31	1.558823058
32	1.534046991
33	1.486867621
34	1.45034992
35	1.415035176
36	1.375466017
37	1.364649271
38	1.352499192
39	1.337222553
40	1.324235865
41	1.308275516
42	1.289663886
43	1.26754051
44	1.246832327
45	1.23217313
46	1.205503398
47	1.188406215
48	1.179043472
49	1.158853813
50	1.150594678
51	1.130327451
52	1.124017008
53	1.114755044
54	1.105140057
55	1.095597003
56	1.078756366
57	1.062381937
58	1.052817586
59	1.050059874
60	1.046816072
61	1.03211319
62	1.023623504
63	1.013499341
64	0.9951186921
65	0.9869030836
66	0.9726664401
67	0.9690010439
68	0.9667541896
69	0.9619978028
70	0.9562145851
71	0.9426710663
72	0.9267420977
73	0.9220850704
74	0.9176972647
75	0.9073475625
76	0.9030000256
77	0.8983442821
78	0.8930526078
79	0.8883053153
80	0.8821568665
81	0.8780500406
82	0.8743482916
83	0.8691220107
84	0.8662793065
85	0.86092191
86	0.849833046
87	0.8485471514
88	0.8473769501
89	0.8464199528
90	0.8435026158
91	0.8426276202
92	0.8390956971
93	0.8272922997
94	0.8231653899
95	0.8202286752
96	0.81786198
97	0.8085123099
98	0.8010459564
99	0.7943504769
100	0.790548006
101	0.7858979089
102	0.7777373773
103	0.7749700201
104	0.7713948727
105	0.7660539383
106	0.7615782492
107	0.755543576
108	0.7533445838
109	0.7503956947
110	0.7477226637
111	0.745091172
112	0.7401375316
113	0.7387868117
114	0.7373112785
115	0.7362979856
116	0.7304704448
117	0.7251091072
118	0.7209092543
119	0.7173753891
120	0.7143840168
121	0.7109924837
122	0.7099954212
123	0.7091955438
124	0.7019944445
125	0.7013294614
126	0.6968598945
127	0.6910964045
128	0.6901166926
129	0.688008248
130	0.6865410302
131	0.6823747195
132	0.679397041
133	0.6776757499
134	0.6740686055
135	0.6736453262
136	0.6727421346
137	0.6653739787
138	0.6631168509
139	0.6598429144
140	0.6576747376
141	0.6564478293
142	0.6545716554
143	0.6532526146
144	0.6530168355
145	0.651720904
146	0.6496527361
147	0.6482213064
148	0.6461310227
149	0.6414770949
150	0.6407008898
151	0.63845157
152	0.6351773348
153	0.6340050311
154	0.6329689894
155	0.6327119617
156	0.6317588059
157	0.6308858109
158	0.6291995304
159	0.6289023182
160	0.6280192906
161	0.625084135
162	0.6239709407
163	0.6226425982
164	0.620375512
165	0.6194221642
166	0.6175794741
167	0.6173920012
168	0.6169901533
169	0.6166604115
170	0.615991991
171	0.6148088033
172	0.6137202705
173	0.6133513282
174	0.6129616682
175	0.612674858
176	0.6122751957
177	0.6119119074
178	0.610885001
179	0.6090836617
180	0.608933705
181	0.6087353712
182	0.6076851806
183	0.6075949428
184	0.6065737181
185	0.6064101756
186	0.6036308094
187	0.603217845
188	0.601502383
189	0.6011322008
190	0.6008767113
191	0.6005913243
192	0.6000048772
193	0.599738789
194	0.5994516614
195	0.5978621562
196	0.5967405995
197	0.5966683554
198	0.5946195352
199	0.5945797228
200	0.5942743424
201	0.5924616339
202	0.5915670369
203	0.5913211547
204	0.5911158361
205	0.5909260441
206	0.5907448324
207	0.5905725419
208	0.5904095992
209	0.5879594391
210	0.5875035575
211	0.5850452711
212	0.584224758
213	0.5840854983
214	0.5824319476
215	0.5822195783
216	0.5803876761
217	0.5796550105
218	0.5784665645
219	0.5783678767
220	0.577957271
221	0.5774463223
222	0.5767903191
223	0.5765122087
224	0.5748027121
225	0.5738395554
226	0.5722085928
227	0.5717086038
228	0.5691213885
229	0.5684001839
230	0.5680151734
231	0.5676056011
232	0.5672693009
233	0.5658987891
234	0.5657621271
235	0.565356887
236	0.5632596885
237	0.5610572273
238	0.559197997
239	0.5575161467
240	0.5568604173
241	0.5553383176
242	0.5548084717
243	0.5544188283
244	0.5540603563
245	0.5525454427
246	0.5523047414
247	0.5510387381
248	0.5509407447
249	0.5489879018
250	0.5478950581
251	0.5469263826
252	0.5466748912
253	0.5455382467
254	0.545401957
255	0.5447864797
256	0.5443051196
257	0.5437499717
258	0.5431847217
259	0.543053616
260	0.5416753216
261	0.541435976
262	0.5400395822
263	0.5399337791
264	0.539196869
265	0.5383948797
266	0.5382397507
267	0.5379911325
268	0.5379257278
269	0.5378626671
270	0.5377041227
271	0.5371788827
