iter	Passed	Remaining
0	48	58230
1	50	30128
2	51	20620
3	52	15666
4	53	12713
5	53	10677
6	54	9342
7	55	8280
8	57	7615
9	58	6936
10	58	6329
11	59	5856
12	59	5463
13	60	5088
14	60	4796
15	61	4542
16	62	4316
17	62	4118
18	63	3939
19	63	3770
20	64	3627
21	65	3491
22	65	3344
23	66	3240
24	66	3128
25	67	3036
26	67	2948
27	68	2864
28	68	2785
29	69	2696
30	70	2645
31	70	2584
32	72	2567
33	73	2514
34	74	2491
35	75	2447
36	76	2401
37	77	2360
38	77	2319
39	78	2280
40	79	2244
41	80	2210
42	80	2176
43	81	2145
44	82	2115
45	83	2086
46	83	2059
47	84	2032
48	85	2006
49	86	1986
50	87	1965
51	87	1942
52	88	1917
53	89	1896
54	90	1875
55	90	1855
56	91	1837
57	92	1819
58	93	1801
59	94	1786
60	94	1769
61	95	1753
62	96	1737
63	97	1722
64	97	1708
65	98	1695
66	99	1681
67	100	1668
68	101	1655
69	101	1642
70	102	1630
71	103	1618
72	104	1606
73	104	1594
74	106	1601
75	107	1589
76	108	1577
77	110	1583
78	110	1574
79	111	1562
80	112	1550
81	112	1538
82	113	1527
83	114	1516
84	114	1505
85	115	1494
86	115	1483
87	116	1473
88	117	1463
89	117	1453
90	118	1444
91	119	1435
92	119	1426
93	120	1417
94	121	1409
95	121	1400
96	122	1392
97	123	1383
98	123	1375
99	124	1369
100	125	1361
101	125	1355
102	126	1347
103	127	1339
104	127	1332
105	128	1325
106	129	1318
107	129	1313
108	130	1308
109	131	1304
110	132	1301
111	133	1295
112	133	1288
113	134	1282
114	135	1276
115	135	1270
116	136	1264
117	137	1258
118	139	1264
119	139	1258
120	140	1251
121	141	1246
122	141	1240
123	142	1233
124	142	1227
125	143	1221
126	143	1215
127	144	1208
128	144	1202
129	145	1196
130	145	1191
131	146	1185
132	147	1180
133	147	1174
134	148	1169
135	148	1163
136	149	1157
137	149	1153
138	150	1148
139	151	1143
140	151	1138
141	152	1133
142	152	1128
143	153	1123
144	153	1118
145	154	1113
146	154	1108
147	155	1103
148	155	1099
149	156	1094
150	156	1090
151	157	1085
152	158	1081
153	158	1076
154	159	1072
155	159	1068
156	160	1064
157	160	1061
158	161	1057
159	162	1054
160	162	1051
161	163	1048
162	164	1044
163	164	1042
164	165	1038
165	166	1036
166	167	1033
167	167	1030
168	168	1027
169	169	1024
170	169	1021
171	170	1017
172	170	1013
173	171	1010
174	171	1006
175	172	1003
176	172	999
177	173	995
178	174	992
179	174	989
180	175	985
181	175	982
182	176	979
183	176	975
184	177	972
185	177	969
186	178	966
187	178	962
188	179	959
189	179	956
190	180	953
191	180	950
192	181	947
193	182	944
194	182	941
195	183	938
196	183	935
197	184	933
198	184	930
199	185	927
200	186	924
201	186	921
202	187	919
203	187	916
204	188	913
205	188	910
206	189	907
207	189	904
208	190	902
209	190	899
210	191	897
211	191	894
212	192	892
213	193	890
214	193	888
215	194	886
216	195	885
217	196	883
218	196	881
219	197	879
220	198	877
221	198	876
222	199	874
223	200	872
224	200	870
225	201	868
226	202	866
227	203	869
228	204	866
229	205	864
230	205	863
231	206	861
232	207	859
233	207	858
234	208	857
235	209	855
236	210	854
237	211	852
238	211	851
239	212	850
240	213	848
241	213	847
242	214	845
243	215	844
244	216	842
245	216	841
246	217	839
247	218	838
248	219	836
249	219	835
250	220	834
251	221	833
252	222	831
253	222	830
254	223	828
255	224	827
256	225	826
257	225	825
258	226	823
259	227	821
260	228	820
261	229	820
262	230	819
263	230	818
264	231	816
265	231	814
266	232	812
267	233	810
268	233	808
269	234	806
270	234	804
271	235	802
272	235	800
273	236	798
274	236	796
275	237	794
276	238	793
277	238	791
278	239	789
279	239	788
280	240	786
281	241	784
282	241	782
283	242	780
284	242	779
285	243	777
286	243	775
287	244	774
288	245	772
289	245	770
290	246	769
291	246	767
292	247	766
293	248	764
294	248	762
295	249	761
296	249	759
297	250	758
298	251	756
299	251	754
300	252	753
301	252	751
302	253	750
