osm_id,lat,lon,name,operator,network
node:5698392285,49.5249896,2.7226041,Ressons Est,TotalEnergies,TotalEnergies Charge Rapide
node:10750423772,49.5699819,2.9769102,,,
node:10862210363,49.8548905,2.5235868,Fastned Aire de Villers Betonneux,Fastned,
node:10957085841,49.5202218,2.7200606,,TotalEnergies,TotalEnergies Charge Rapide
node:11059500392,49.8862768,2.8371632,ENGIE Coeur des Hauts-de-France Ouest,Engie,Engie
node:11109171145,49.6999939,2.7880978,,Fédération Départementale d'Énergie de la Somme (FDE80) | FR*S80,FDE 80
node:12025356234,49.709435,2.7727479,Roye Supercharger,Tesla,Tesla
node:12292220271,49.8881305,2.8405997,,TotalEnergies,
way:1179707726,49.5186104,2.7196745,EnGie Resson Ouest,Greenflux,ENGIE Vianeo
node:5536470938,49.5828459,3.6438844,Intermarché Laon,Izivia,Izivia Express
node:8812230525,49.640606,3.2538829,,Power Dot France,Power Dot France
node:9037797389,49.7861209,3.3348936,,TotalEnergies,
node:10051769724,49.8588901,3.2536398,Saint-Quentin Supercharger,Tesla,Tesla Supercharger
node:10681099543,49.8189499,3.2958153,Power Dot - Gauchy,Powerdot,Power Dot France
node:12431120596,49.8298885,3.3060801,,Power Dot France,Power Dot France
node:12431128813,49.8338989,3.2884741,,Power Dot France,Power Dot France
way:835734002,49.7871325,3.3356058,Aire d'Urvillers Supercharger,Tesla,
node:7679696942,49.9128055,4.0915932,,Auchan,
node:7923607959,49.9729101,3.9193196,,DRIVECO,DRIVECO
node:11109171204,49.468399,4.117,,,ASFELD - 57563 - Place Grand Cour
node:9073795182,49.7368257,4.7440773,Charleville-Mézières Supercharger,"Tesla, Inc.",
node:10060483719,49.5921577,4.5046617,Relais Ardennes-Woinic,TotalEnergies,Total Charge Rapide
node:11109170286,49.7373815,4.7095707,,Freshmile SAS,Freshmile
node:11109170287,49.74086,4.70315,,Freshmile SAS,Freshmile
node:11109170290,49.883542,4.842865,,,08 LES HAUTES RIVIERES-pl de la mairie DC 57604
node:11109170297,49.869547,4.4275008,,Virta,MODULO
node:11109170299,49.788094,4.49431,,,ROUVROY SUR AUDRY - 57687 - Grande Rue
node:11109170300,49.924518,4.520988,,Virta,MODULO
node:11109170305,49.858676,4.744732,,Virta,MODULO
node:11109170306,49.873325,4.599876,,Virta,MODULO
node:11109170307,49.890051,4.626666,,Virta,MODULO
node:11109170308,49.838277,4.603013,,Virta,MODULO
node:11109170309,49.828116,4.625257,,Virta,MODULO
node:11109170310,49.6981479,4.4190813,,,SIGNY L ABBAYE - Plave Aristide Briand - 57592
node:11109170311,49.769178,4.340441,,,LIART - Place de la Mairie - 57724
node:11109170316,49.474329,4.578276,,,ATTIGNY DC
node:9549315388,49.8488841,5.4370097,Lidl Neufchâteau,Lidl,
node:10537962352,49.6016951,4.9571869,,Virta,MODULO
node:11549414825,50.0011124,5.0182059,,,
node:5493315878,49.6480915,5.8189535,Arlon Supercharger,Tesla,
node:9393060079,49.60785,6.087638,SuperChargy Ok - Creos Site Merl Visiteurs,Chargy,
node:12492629380,49.5090916,5.7148195,,,
node:13119274282,49.6240842,6.0482133,,TotalEnergies,
node:13311287890,49.9605511,5.8602063,,Aral,
way:1353715844,49.653139,5.8188792,,,
way:1453574086,49.5175893,5.7536154,Ionity Pulventeux,Ionity,
way:1453576704,49.6115497,5.8127378,Ionity Messancy,Ionity,
way:1459286639,49.6398557,6.0138282,,Electra,
way:1460063001,49.5178173,5.7480001,,Fastned,
way:1460070339,49.514712,5.7346642,,EVzen,
node:3815442164,49.6408784,6.270734,Mënsbech Supercharger,"Tesla, Inc.",
node:6740281628,49.5194451,6.3760185,,Aldi Süd,
node:11516194387,49.474522,6.372765,,EnBW Energie Baden-Württemberg AG,
node:11516208549,49.4745069,6.3727125,,EnBW Energie Baden-Württemberg AG,
node:12880824565,49.5822474,6.1261605,Luxembourg Urban Supercharger,Tesla,
node:5536470939,50.6454379,3.098758,Intermarché Mons-en-Barœul,Izivia,Izivia Express
node:5536470945,50.53198,3.0462314,Aire de Phalempin-Ouest,TotalEnergies Charging Services,TotalEnergies Charge Rapide
node:5536470946,50.5290438,3.0459772,Aire de Phalempin-Est,Last Mile Solutions,ENGIE Vianeo
node:7741480669,50.6318315,2.9668354,Auchan Englos - Borne de recharge,Auchan,
node:7923648961,50.3506176,3.0400634,,Bouygues Énergies et Services,pass pass électrique
node:9875835936,50.225513,3.0702981,Ionity Baralle,Ionity,IONITY Baralle
node:10301326651,50.1732469,2.8735267,Fastned Aire de Saint-Léger,Fastned France,Fastned Aire de Saint-Léger
node:10862226176,50.2615205,2.8641972,Fastned Aire de Wancourt Est,Fastned France,Fastned Aire de Wancourt Est
node:11059581188,50.5301496,3.0463018,ENGIE Phalempin Est,Greenflux,ENGIE Vianeo
node:11059589014,50.5315161,3.0458901,ENGIE Phalempin Ouest,Greenflux,ENGIE Vianeo
node:11109169199,50.4753957,2.5448661,,Freshmile | FR*FR1,Freshmile France
node:11109169211,50.2274772,3.0643557,,,Shell- France Aire de Rumaucourt HW
node:11109175894,50.225516,3.06931,,IONITY,IONITY GMBH
node:11109195039,50.5488632,3.053145,,IONITY,IONITY GMBH
node:11109195054,50.63337,2.965283,,R3,R3
node:11657482241,50.3032404,2.725461,,R3,R3
node:11659193301,50.299383,2.7390014,,Power Dot France,Power Dot France
node:11813274191,50.4051426,2.7437107,04,TotalEnergies Charging Services,TotalEnergies Charge Rapide
