evse_latitude,evse_longitude,Pool_SiteType,evse_nominal_power,sessions_per_day,grid_id_1km,population_1km,osm_shop_any_1500m,osm_amenity_food_1500m,osm_office_any_1500m,osm_parking_1500m,osm_fuel_1500m
51.033329,2.872718,Unknown,150,1.806451612903225,1kmN3126E3821,2490,37,23,4,58,6
51.083238,3.444672,Store,300,14.033333333333331,1kmN3128E3862,2516,110,36,33,81,3
50.938346,4.475505,Unknown,300,17.06896551724138,1kmN3106E3933,156,7,4,0,18,1
50.95223,4.2931,Store,320,4.966666666666667,1kmN3109E3920,692,21,8,1,32,2
50.91884,3.171217,Unknown,300,6.266666666666667,1kmN3112E3841,486,11,1,10,66,2
51.21718,4.27039,Parking area,175,1.0333333333333334,1kmN3138E3921,2085,90,33,6,63,1
50.91853,3.200376,Office building,320,1.7,1kmN3111E3843,1819,110,63,30,229,5
50.901198,3.405845,Parking area,301,1.1935483870967742,1kmN3108E3857,1282,63,22,4,64,5
51.209628,3.25504,Store,150,2.8,1kmN3143E3850,2761,94,53,8,83,4
51.034748,4.514834,Store,320,2.161290322580645,1kmN3117E3936,2736,23,8,5,36,2
51.321999,4.586359,Unknown,300,16.161290322580644,1kmN3148E3944,755,2,3,0,3,0
50.90987,4.7127,Store,320,4.258064516129032,1kmN3102E3949,1051,38,15,12,33,6
50.938346,4.475505,Unknown,300,17.903225806451612,1kmN3106E3933,156,7,4,0,18,1
50.938346,4.475505,Unknown,300,12.966666666666669,1kmN3106E3933,156,7,4,0,18,1
50.938346,4.475505,Unknown,300,17.387096774193548,1kmN3106E3933,156,7,4,0,18,1
50.825547,4.814096,Store,300,11.10344827586207,1kmN3092E3955,131,2,1,1,3,0
51.083238,3.444672,Store,300,14.225806451612904,1kmN3128E3862,2516,110,36,33,81,3
50.870126,4.545831,Unknown,300,13.133333333333333,1kmN3098E3937,258,9,3,0,17,0
50.868743,4.544832,Unknown,300,10.32258064516129,1kmN3098E3937,258,8,4,0,19,0
50.794686,4.306265,Office building,320,2.3,1kmN3091E3920,2943,108,31,11,61,5
50.928126,3.958265,Unknown,300,10.766666666666667,1kmN3108E3896,323,58,25,9,38,4
50.838111,4.009528,Parking area,150,2.933333333333333,1kmN3097E3899,1839,147,66,13,52,2
50.928126,3.958265,Unknown,300,11.366666666666667,1kmN3108E3896,323,58,25,9,38,4
51.203886,4.647288,Store,350,2.870967741935484,1kmN3135E3947,1003,21,9,6,30,2
50.793268,4.307761,Office building,150,8.466666666666667,1kmN3091E3920,2943,93,29,10,61,5
51.21806,4.496005,Store,320,2.8,1kmN3137E3936,2276,31,10,5,46,10
50.868743,4.544832,Unknown,300,16.466666666666665,1kmN3098E3937,258,8,4,0,19,0
51.22396,5.42815,Store,320,2.5161290322580645,1kmN3133E4001,1189,88,53,17,116,3
50.943524,5.284725,Office building,150,8.838709677419354,1kmN3103E3989,1037,33,16,0,37,5
51.034748,4.514834,Store,320,4.290322580645161,1kmN3117E3936,2736,23,8,5,36,2
51.369409,4.842184,Parking area,120,0.032258064516129,1kmN3152E3962,387,12,1,0,6,0
51.208988,3.20235,Store,301,4.466666666666667,1kmN3144E3846,943,366,217,64,555,6
51.20877,3.26566,Store,320,1.7096774193548387,1kmN3143E3851,1556,72,25,5,45,4
51.321999,4.586359,Unknown,300,10.5,1kmN3148E3944,755,2,3,0,3,0
50.870126,4.545831,Unknown,300,15.32258064516129,1kmN3098E3937,258,9,3,0,17,0
50.749455,3.59509,Store,150,3.419354838709677,1kmN3090E3869,3949,60,34,1,50,5
51.321999,4.586359,Unknown,300,11.8,1kmN3148E3944,755,2,3,0,3,0
50.878481,4.281058,Store,200,5.333333333333333,1kmN3100E3918,159,65,34,26,111,6
50.936129,4.47578,Unknown,300,16.838709677419356,1kmN3106E3933,156,7,3,0,16,1
51.017219,3.664973,Office building,600,2.193548387096774,1kmN3119E3877,941,86,20,19,14,2
50.90872,4.38627,Store,350,3.6,1kmN3103E3926,2309,39,19,37,190,1
50.938346,4.475505,Unknown,300,20.566666666666663,1kmN3106E3933,156,7,4,0,18,1
51.226805,2.921838,Office building,150,2.129032258064516,1kmN3147E3827,2477,168,177,19,146,4
50.938346,4.475505,Unknown,300,10.482758620689657,1kmN3106E3933,156,7,4,0,18,1
51.176443,4.385541,Office building,300,1.3548387096774193,1kmN3133E3928,7787,126,39,23,74,8
51.106193,4.368163,Store,300,2.2666666666666666,1kmN3125E3927,1845,68,25,4,66,3
51.034748,4.514834,Store,320,1.935483870967742,1kmN3117E3936,2736,23,8,5,36,2
