GRD_NEWID,MS_POPULATION_20200101
1kmN3132E3799,0
1kmN3133E3799,0
1kmN3134E3799,0
1kmN3135E3799,0
1kmN3107E3800,0
1kmN3108E3800,11
1kmN3109E3800,0
1kmN3115E3800,0
1kmN3116E3800,2
1kmN3124E3800,0
1kmN3125E3800,0
1kmN3126E3800,0
1kmN3127E3800,0
1kmN3128E3800,0
1kmN3129E3800,2
1kmN3130E3800,0
1kmN3131E3800,23
1kmN3132E3800,4
1kmN3133E3800,25
1kmN3134E3800,0
1kmN3135E3800,0
1kmN3136E3800,0
1kmN3106E3801,0
1kmN3107E3801,0
1kmN3108E3801,9
1kmN3109E3801,11
1kmN3110E3801,4
1kmN3111E3801,9
1kmN3112E3801,10
1kmN3113E3801,0
1kmN3114E3801,2
1kmN3115E3801,13
1kmN3116E3801,29
1kmN3117E3801,0
1kmN3123E3801,0
1kmN3124E3801,4
1kmN3125E3801,6
1kmN3126E3801,31
1kmN3127E3801,21
1kmN3128E3801,5
1kmN3129E3801,23
1kmN3130E3801,4
1kmN3131E3801,5
1kmN3132E3801,16
1kmN3133E3801,7
1kmN3134E3801,0
1kmN3135E3801,326
1kmN3136E3801,0
1kmN3103E3802,0
1kmN3104E3802,5
1kmN3105E3802,10
1kmN3106E3802,18
1kmN3107E3802,57
1kmN3108E3802,160
1kmN3109E3802,563
1kmN3110E3802,29
1kmN3111E3802,19
1kmN3112E3802,13
1kmN3113E3802,25
1kmN3114E3802,168
1kmN3115E3802,9
1kmN3116E3802,121
1kmN3117E3802,5
1kmN3118E3802,0
1kmN3121E3802,0
1kmN3122E3802,0
1kmN3123E3802,0
1kmN3124E3802,35
1kmN3125E3802,17
1kmN3126E3802,49
1kmN3127E3802,8
1kmN3128E3802,8
1kmN3129E3802,8
1kmN3130E3802,0
1kmN3131E3802,8
1kmN3132E3802,629
1kmN3133E3802,271
1kmN3134E3802,61
1kmN3135E3802,1931
1kmN3136E3802,944
1kmN3137E3802,0
1kmN3103E3803,0
1kmN3104E3803,20
1kmN3105E3803,32
1kmN3106E3803,22
1kmN3107E3803,18
1kmN3108E3803,16
1kmN3109E3803,50
1kmN3110E3803,6
1kmN3111E3803,23
1kmN3112E3803,12
1kmN3113E3803,46
1kmN3114E3803,75
1kmN3115E3803,514
1kmN3116E3803,155
1kmN3117E3803,28
1kmN3118E3803,4
1kmN3119E3803,2
1kmN3120E3803,1
1kmN3121E3803,23
1kmN3122E3803,34
1kmN3123E3803,261
1kmN3124E3803,15
1kmN3125E3803,106
1kmN3126E3803,304
1kmN3127E3803,22
1kmN3128E3803,6
1kmN3129E3803,9
1kmN3130E3803,12
1kmN3131E3803,5
1kmN3132E3803,220
1kmN3133E3803,1564
1kmN3134E3803,226
1kmN3135E3803,2128
1kmN3136E3803,1958
1kmN3137E3803,0
1kmN3103E3804,7
1kmN3104E3804,22
1kmN3105E3804,78
1kmN3106E3804,27
1kmN3107E3804,37
1kmN3108E3804,42
1kmN3109E3804,50
1kmN3110E3804,32
1kmN3111E3804,58
1kmN3112E3804,113
1kmN3113E3804,65
1kmN3114E3804,26
1kmN3115E3804,52
1kmN3116E3804,18
1kmN3117E3804,157
1kmN3118E3804,140
1kmN3119E3804,21
1kmN3120E3804,31
1kmN3121E3804,16
1kmN3122E3804,120
1kmN3123E3804,154
1kmN3124E3804,6
1kmN3125E3804,36
1kmN3126E3804,23
1kmN3127E3804,14
1kmN3128E3804,18
1kmN3129E3804,22
1kmN3130E3804,10
1kmN3131E3804,7
1kmN3132E3804,17
1kmN3133E3804,8
1kmN3134E3804,6
1kmN3135E3804,925
1kmN3136E3804,1269
1kmN3137E3804,960
1kmN3138E3804,0
1kmN3103E3805,0
1kmN3104E3805,308
1kmN3105E3805,72
1kmN3106E3805,23
1kmN3107E3805,39
1kmN3108E3805,85
1kmN3109E3805,93
1kmN3110E3805,14
1kmN3111E3805,59
1kmN3112E3805,664
1kmN3113E3805,48
1kmN3114E3805,23
1kmN3115E3805,26
1kmN3116E3805,13
1kmN3117E3805,17
1kmN3118E3805,22
1kmN3119E3805,23
1kmN3120E3805,11
1kmN3121E3805,23
1kmN3122E3805,19
1kmN3123E3805,39
1kmN3124E3805,16
1kmN3125E3805,16
1kmN3126E3805,38
1kmN3127E3805,68
1kmN3128E3805,22
1kmN3129E3805,3
1kmN3130E3805,4
1kmN3131E3805,11
1kmN3132E3805,10
1kmN3133E3805,31
1kmN3134E3805,10
1kmN3135E3805,402
1kmN3136E3805,784
1kmN3137E3805,1563
1kmN3138E3805,6
1kmN3103E3806,25
1kmN3104E3806,29
1kmN3105E3806,74
1kmN3106E3806,55
1kmN3107E3806,52
1kmN3108E3806,54
1kmN3109E3806,27
1kmN3110E3806,31
1kmN3111E3806,22
1kmN3112E3806,34
1kmN3113E3806,64
1kmN3114E3806,15
1kmN3115E3806,35
1kmN3116E3806,47
1kmN3117E3806,235
1kmN3118E3806,32
1kmN3119E3806,20
1kmN3120E3806,21
1kmN3121E3806,58
